tz,ty,diff,city
Africa/Abidjan,Canonical,+00:00,Abidjan
Africa/Accra,Canonical,+00:00,Accra
Africa/Addis_Ababa,Alias,+03:00,Addis Ababa
Africa/Algiers,Canonical,+01:00,Algiers
Africa/Asmara,Alias,+03:00,Asmara
Africa/Bamako,Alias,+00:00,Bamako
Africa/Bangui,Alias,+01:00,Bangui
Africa/Banjul,Alias,+00:00,Banjul
Africa/Bissau,Canonical,+00:00,Bissau
Africa/Blantyre,Alias,+02:00,Blantyre
Africa/Brazzaville,Alias,+01:00,Brazzaville
Africa/Bujumbura,Alias,+02:00,Bujumbura
Africa/Cairo,Canonical,+02:00,Cairo
Africa/Casablanca,Canonical,+01:00,Casablanca
Africa/Ceuta,Canonical,+01:00,Ceuta
Africa/Conakry,Alias,+00:00,Conakry
Africa/Dakar,Alias,+00:00,Dakar
Africa/Dar_es_Salaam,Alias,+03:00,Dar es Salaam
Africa/Djibouti,Alias,+03:00,Djibouti
Africa/Douala,Alias,+01:00,Douala
Africa/El_Aaiun,Canonical,+01:00,El Aaiun
Africa/Freetown,Alias,+00:00,Freetown
Africa/Gaborone,Alias,+02:00,Gaborone
Africa/Harare,Alias,+02:00,Harare
Africa/Johannesburg,Canonical,+02:00,Johannesburg
Africa/Juba,Canonical,+03:00,Juba
Africa/Kampala,Alias,+03:00,Kampala
Africa/Khartoum,Canonical,+02:00,Khartoum
Africa/Kigali,Alias,+02:00,Kigali
Africa/Kinshasa,Alias,+01:00,Kinshasa
Africa/Lagos,Canonical,+01:00,Lagos
Africa/Libreville,Alias,+01:00,Libreville
Africa/Lome,Alias,+00:00,Lome
Africa/Luanda,Alias,+01:00,Luanda
Africa/Lubumbashi,Alias,+02:00,Lubumbashi
Africa/Lusaka,Alias,+02:00,Lusaka
Africa/Malabo,Alias,+01:00,Malabo
Africa/Maputo,Canonical,+02:00,Maputo
Africa/Maseru,Alias,+02:00,Maseru
Africa/Mbabane,Alias,+02:00,Mbabane
Africa/Mogadishu,Alias,+03:00,Mogadishu
Africa/Monrovia,Canonical,+00:00,Monrovia
Africa/Nairobi,Canonical,+03:00,Nairobi
Africa/Ndjamena,Canonical,+01:00,Ndjamena
Africa/Niamey,Alias,+01:00,Niamey
Africa/Nouakchott,Alias,+00:00,Nouakchott
Africa/Ouagadougou,Alias,+00:00,Ouagadougou
Africa/Porto-Novo,Alias,+01:00,Porto-Novo
Africa/Sao_Tome,Canonical,+00:00,Sao Tome
Africa/Tripoli,Canonical,+02:00,Tripoli
Africa/Tunis,Canonical,+01:00,Tunis
Africa/Windhoek,Canonical,+02:00,Windhoek
America/Adak,Canonical,-10:00,Adak
America/Anchorage,Canonical,-09:00,Anchorage
America/Anguilla,Alias,-04:00,Anguilla
America/Antigua,Alias,-04:00,Antigua
America/Araguaina,Canonical,-03:00,Araguaina
America/Argentina/Buenos_Aires,Canonical,-03:00,Buenos Aires
America/Argentina/Catamarca,Canonical,-03:00,Catamarca
America/Argentina/Cordoba,Canonical,-03:00,Cordoba
America/Argentina/Jujuy,Canonical,-03:00,Jujuy
America/Argentina/La_Rioja,Canonical,-03:00,La Rioja
America/Argentina/Mendoza,Canonical,-03:00,Mendoza
America/Argentina/Rio_Gallegos,Canonical,-03:00,Rio Gallegos
America/Argentina/Salta,Canonical,-03:00,Salta
America/Argentina/San_Juan,Canonical,-03:00,San Juan
America/Argentina/San_Luis,Canonical,-03:00,San Luis
America/Argentina/Tucuman,Canonical,-03:00,Tucuman
America/Argentina/Ushuaia,Canonical,-03:00,Ushuaia
America/Aruba,Alias,-04:00,Aruba
America/Asuncion,Canonical,-04:00,Asuncion
America/Atikokan,Canonical,-05:00,Atikokan
America/Bahia,Canonical,-03:00,Bahia
America/Bahia_Banderas,Canonical,-06:00,Bahia Banderas
America/Barbados,Canonical,-04:00,Barbados
America/Belem,Canonical,-03:00,Belem
America/Belize,Canonical,-06:00,Belize
America/Blanc-Sablon,Canonical,-04:00,Blanc-Sablon
America/Boa_Vista,Canonical,-04:00,Boa Vista
America/Bogota,Canonical,-05:00,Bogota
America/Boise,Canonical,-07:00,Boise
America/Cambridge_Bay,Canonical,-07:00,Cambridge Bay
America/Campo_Grande,Canonical,-04:00,Campo Grande
America/Cancun,Canonical,-05:00,Cancun
